gameid	seasonlabel	gameweekid	gameweeknum	gamedate	team_h_id	team_h	team_a_id	team_a	score_h	score_a	groundid	groundname	groundcity	matchstatus	matchoutcome	matchphase	attendance	extraTime	shootout	matchtime	formation_h	formation_a	tot_dist_m_h	tot_dist_m_a	clearance_h	clearance_a	pass_h	pass_a	touches_h	touches_a	touches_opp_box_h	touches_opp_box_a	possession_pct_h	possession_pct_a	poss_lost_ctrl_h	poss_lost_ctrl_a	total_tackle_h	total_tackle_a	won_tackle_h	won_tackle_a	tot_long_balls_h	tot_long_balls_a	tot_offside_h	tot_offside_a	shot_off_target_h	shot_off_target_a	corner_taken_h	corner_taken_a	interception_h	interception_a	first_half_goals_h	first_half_goals_a	goals_openplay_h	goals_openplay_a	big_chance_created_h	big_chance_created_a	big_chance_scored_h	big_chance_scored_a	big_chance_missed_h	big_chance_missed_a	own_goal_accrued_h	own_goal_accrued_a	saves_h	saves_a	tot_yel_card_h	tot_yel_card_a	forward_goals_h	forward_goals_a	defender_goals_h	defender_goals_a	midfielder_goals_h	midfielder_goals_a	subs_made_h	subs_made_a	player1_name_h	player2_name_h	player3_name_h	player4_name_h	player5_name_h	player6_name_h	player7_name_h	player8_name_h	player9_name_h	player10_name_h	player11_name_h	player12_name_h	player13_name_h	player14_name_h	player15_name_h	player16_name_h	player17_name_h	player18_name_h	player1_name_a	player2_name_a	player3_name_a	player4_name_a	player5_name_a	player6_name_a	player7_name_a	player8_name_a	player9_name_a	player10_name_a	player11_name_a	player12_name_a	player13_name_a	player14_name_a	player15_name_a	player16_name_a	player17_name_a	player18_name_a	player1_role_h	player2_role_h	player3_role_h	player4_role_h	player5_role_h	player6_role_h	player7_role_h	player8_role_h	player9_role_h	player10_role_h	player11_role_h	player12_role_h	player13_role_h	player14_role_h	player15_role_h	player16_role_h	player17_role_h	player18_role_h	player1_role_a	player2_role_a	player3_role_a	player4_role_a	player5_role_a	player6_role_a	player7_role_a	player8_role_a	player9_role_a	player10_role_a	player11_role_a	player12_role_a	player13_role_a	player14_role_a	player15_role_a	player16_role_a	player17_role_a	player18_role_a	player1_GS_h	player2_GS_h	player3_GS_h	player4_GS_h	player5_GS_h	player6_GS_h	player7_GS_h	player8_GS_h	player9_GS_h	player10_GS_h	player11_GS_h	player12_GS_h	player13_GS_h	player14_GS_h	player15_GS_h	player16_GS_h	player17_GS_h	player18_GS_h	player1_GS_a	player2_GS_a	player3_GS_a	player4_GS_a	player5_GS_a	player6_GS_a	player7_GS_a	player8_GS_a	player9_GS_a	player10_GS_a	player11_GS_a	player12_GS_a	player13_GS_a	player14_GS_a	player15_GS_a	player16_GS_a	player17_GS_a	player18_GS_a	player1_YC_h	player2_YC_h	player3_YC_h	player4_YC_h	player5_YC_h	player6_YC_h	player7_YC_h	player8_YC_h	player9_YC_h	player10_YC_h	player11_YC_h	player12_YC_h	player13_YC_h	player14_YC_h	player15_YC_h	player16_YC_h	player17_YC_h	player18_YC_h	player1_YC_a	player2_YC_a	player3_YC_a	player4_YC_a	player5_YC_a	player6_YC_a	player7_YC_a	player8_YC_a	player9_YC_a	player10_YC_a	player11_YC_a	player12_YC_a	player13_YC_a	player14_YC_a	player15_YC_a	player16_YC_a	player17_YC_a	player18_YC_a
12494	2015/16	1168	38	"Tue 17 May 2016, 20:00 BST"	12	Manchester United	127	AFC Bournemouth	3	1	42	Old Trafford	Manchester	C	H	F	74363	FALSE	FALSE	5640	4141	442			11	10	677	342	846	510			66	33	115	114	17	16	10	11	70	67	4	2	3	3	7	1	14	30	1		3		3		2		1			1		2	1		1				1		3	3	Juan Mata	David de Gea	Michael Carrick	Jesse Lingard	Wayne Rooney	Marcus Rashford	Anthony Martial	Daley Blind	Cameron Borthwick-Jackson	Chris Smalling	Luis Antonio Valencia	Andreas Pereira	Ander Herrera	Guillermo Varela	Ashley Young	Memphis Depay	Phil Jones	Sergio Romero	Callum Wilson	Andrew Surman	Steve Cook	Simon Francis	Joshua King	Adam Federici	Tommy Elphick	Matt Ritchie	Dan Gosling	Charlie Daniels	Marc Pugh	Jordan Holmes	Eunan O'Kane	Corey Jordan	Junior Stanislas	Benik Afobe	Max-Alain Gradel	Lewis Grabban	Midfielders	Goalkeeper	Midfielders	Midfielders	Midfielders	Forwards	Midfielders	Defenders	Defenders	Defenders	Defenders	Midfielders	Midfielders	Defenders	Midfielders	Forwards	Defenders	Goalkeeper	Forwards	Midfielders	Defenders	Defenders	Forwards	Goalkeeper	Defenders	Midfielders	Midfielders	Defenders	Midfielders	Goalkeeper	Midfielders	Defenders	Midfielders	Forwards	Forwards	Forwards	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12485	2015/16	1168	38	"Sun 15 May 2016, 15:00 BST"	1	Arsenal	2	Aston Villa	4	0	52	Emirates Stadium	London	C	H	F	60007	FALSE	FALSE	5640	4231	532			12	26	609	414	774	591			59	40	109	118	14	13	13	12	31	55			7		5	4	26	20	1		3		6		1		6		1		2	4		1	3						3	2	Gabriel Paulista	Santi Cazorla	Laurent Koscielny	Jack Wilshere	Olivier Giroud	Héctor Bellerín	Mesut Özil	Nacho Monreal	Petr Cech	Alexis Sánchez	Francis Coquelin	Mohamed Elneny	Alex Iwobi	Joel Campbell	Kieran Gibbs	Mikel Arteta	David Ospina	Aaron Ramsey	Carlos Sánchez	Leandro Bacuna	Jordan Lyden	Kevin Toner	Idrissa Gueye	Jordan Ayew	Aly Cissokho	Mark Bunn	Joleon Lescott	Scott Sinclair	Ashley Westwood	Jack Grealish	Rudy Gestede	Micah Richards	Rushian Hepburn-Murphy	Brad Guzan	Carles Gil	Adama Traoré	Defenders	Midfielders	Defenders	Midfielders	Forwards	Defenders	Midfielders	Defenders	Goalkeeper	Midfielders	Midfielders	Midfielders	Midfielders	Forwards	Defenders	Midfielders	Goalkeeper	Midfielders	Midfielders	Defenders	Defenders	Defenders	Midfielders	Forwards	Defenders	Goalkeeper	Defenders	Forwards	Midfielders	Midfielders	Forwards	Defenders	Forwards	Goalkeeper	Midfielders	Midfielders	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12486	2015/16	1168	38	"Sun 15 May 2016, 15:00 BST"	4	Chelsea	26	Leicester City	1	1	30	Stamford Bridge	London	C	D	F	41494	FALSE	FALSE	5640	4231	4231			26	16	525	444	753	668			54	46	145	149	26	24	20	19	54	58	8		4	6	7	6	14	20				1		2	1			2			4	3							1	1	3	3	Gary Cahill	Eden Hazard	Pedro	Branislav Ivanovic	César Azpilicueta	Bertrand Traoré	Abdul Rahman Baba	Cesc Fàbregas	Thibaut Courtois	Willian	Nemanja Matic	Alexandre Pato	Ruben Loftus-Cheek	Kenedy	Oscar	Asmir Begovic	Tammy Abraham	Fikayo Tomori	Demarai Gray	Danny Simpson	Jamie Vardy	Christian Fuchs	Riyad Mahrez	N'Golo Kanté	Kasper Schmeichel	Wes Morgan	Marcin Wasilewski	Daniel Drinkwater	Andy King	Ben Chilwell	Daniel Amartey	Shinji Okazaki	Mark Schwarzer	Jeffrey Schlupp	Leonardo Ulloa	Marc Albrighton	Defenders	Midfielders	Midfielders	Defenders	Defenders	Forwards	Defenders	Midfielders	Goalkeeper	Midfielders	Midfielders	Forwards	Midfielders	Forwards	Midfielders	Goalkeeper	Forwards	Defenders	Midfielders	Defenders	Forwards	Defenders	Midfielders	Midfielders	Goalkeeper	Defenders	Defenders	Midfielders	Midfielders	Defenders	Midfielders	Forwards	Goalkeeper	Midfielders	Forwards	Midfielders	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12487	2015/16	1168	38	"Sun 15 May 2016, 15:00 BST"	7	Everton	14	Norwich City	3	0	31	Goodison Park	Liverpool	C	H	F	36691	FALSE	FALSE	5580	4231	4411			29	28	382	445	599	650			45	54	133	156	18	13	18	10	73	69	1	1	4	7	4	11	23	17	2		2		1		2		1				3	5					1		2		3	3	Leighton Baines	Gareth Barry	John Stones	James McCarthy	Kevin Mirallas	Romelu Lukaku	Matthew Pennington	Tim Howard	Phil Jagielka	Kieran Dowell	Tom Davies	Tom Cleverley	Leon Osman	Joel Robles	Callum Connolly	Aaron Lennon	Ross Barkley	Jonjoe Kenny	Nathan Redmond	Martin Olsson	Ryan Bennett	Graham Dorrans	Steven Naismith	John Ruddy	Ivo Pinto	Gary O'Neil	Matthew Jarvis	Russell Martin	Cameron Jerome	Tony Andreu	Steven Whittaker	Vadis Odjidja-Ofoe	Sebastien Bassong	Wes Hoolahan	Declan Rudd	Robbie Brady	Defenders	Midfielders	Defenders	Midfielders	Midfielders	Forwards	Defenders	Goalkeeper	Defenders	Midfielders	Midfielders	Midfielders	Midfielders	Goalkeeper	Defenders	Midfielders	Midfielders	Defenders	Midfielders	Defenders	Defenders	Midfielders	Forwards	Goalkeeper	Defenders	Midfielders	Midfielders	Defenders	Forwards	Midfielders	Defenders	Midfielders	Defenders	Midfielders	Goalkeeper	Midfielders	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12488	2015/16	1168	38	"Sun 15 May 2016, 15:00 BST"	23	Newcastle United	21	Tottenham Hotspur	5	1	27	St. James' Park	Newcastle	C	H	F	52183	FALSE	FALSE	5640	4231	4231			35	11	351	551	538	739			38	61	106	120	20	21	18	17	55	41	1	1	3	7	3	8	17	7	2		4	1	3		3		1				4	5	1	2	1		1		2	1	3	3	Daryl Janmaat	Jack Colback	Karl Darlow	Georginio Wijnaldum	Moussa Sissoko	Andros Townsend	Cheick Tioté	Aleksandar Mitrovic	Chancel Mbemba	Paul Dummett	Steven Taylor	Papiss Demba Cissé	Rolando Aarons	Freddy Woodman	Siem de Jong	Jonjo Shelvey	Ayoze Pérez	Jamie Sterry	Ben Davies	Son Heung-Min	Jan Vertonghen	Erik Lamela	Toby Alderweireld	Hugo Lloris	Harry Kane	Christian Eriksen	Ryan Mason	Kyle Walker	Eric Dier	Josh Onomah	Kevin Wimmer	Nacer Chadli	Clinton N'Jie	Danny Rose	Tom Carroll	Michel Vorm	Defenders	Midfielders	Goalkeeper	Midfielders	Midfielders	Midfielders	Midfielders	Forwards	Defenders	Defenders	Defenders	Forwards	Midfielders	Goalkeeper	Midfielders	Midfielders	Forwards	Defenders	Defenders	Midfielders	Defenders	Midfielders	Defenders	Goalkeeper	Forwards	Midfielders	Midfielders	Defenders	Midfielders	Midfielders	Defenders	Midfielders	Forwards	Defenders	Midfielders	Goalkeeper	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
12489	2015/16	1168	38	"Sun 15 May 2016, 15:00 BST"	20	Southampton	6	Crystal Palace	4	1	48	St. Mary's Stadium	Southampton	C	H	F	31313	FALSE	FALSE	5580	4231	4231			40	19	396	401	612	584			49	50	110	140	15	11	11	9	51	72	2	1	12	4	2	5	19	19	1		3		1	2	2			2			3	1	1	2			1		2	1	3	3	Dusan Tadic	Shane Long	Steven Davis	Virgil van Dijk	Sadio Mané	Ryan Bertrand	Fraser Forster	Victor Wanyama	José Fonte	Oriol Romeu	Cuco Martina	Maarten Stekelenburg	Maya Yoshida	Charlie Austin	James Ward-Prowse	Cédric Soares	Harrison Reed	Graziano Pellè	Mile Jedinak	James McArthur	Jordon Mutch	Julian Speroni	Dwight Gayle	Pape Souaré	Joel Ward	Damien Delaney	Jason Puncheon	Emmanuel Adebayor	Adrian Mariappa	Chung-Yong Lee	Jake Gray	Alex McCarthy	Martin Kelly	Sullay Kaikai	Fraizer Campbell	Scott Dann	Midfielders	Forwards	Midfielders	Defenders	Midfielders	Defenders	Goalkeeper	Midfielders	Defenders	Midfielders	Defenders	Goalkeeper	Defenders	Forwards	Midfielders	Defenders	Midfielders	Forwards	Midfielders	Midfielders	Midfielders	Goalkeeper	Midfielders	Defenders	Defenders	Defenders	Midfielders	Forwards	Defenders	Midfielders	Midfielders	Goalkeeper	Defenders	Midfielders	Forwards	Defenders	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
12490	2015/16	1168	38	"Sun 15 May 2016, 15:00 BST"	42	Stoke City	25	West Ham United	2	1	1	Britannia Stadium	Stoke	C	H	F	27721	FALSE	FALSE	5880	4231	4141			27	19	355	401	542	599			46	53	128	137	28	10	22	6	55	53	6	2	2	6	4	10	5	6		1	1			2				3			5	2	3	1					1	1	3	3	Ryan Shawcross	Marko Arnautovic	Joselu	Philipp Wollscheid	Giannelli Imbula	Geoff Cameron	Glenn Whelan	Erik Pieters	Jonathan Walters	Bojan	Shay Given	Phil Bardsley	Mame Biram Diouf	Jakob Haugaard	Marc Muniesa	Charlie Adam	Peter Crouch	Xherdan Shaqiri	James Tomkins	Cheikhou Kouyaté	Andy Carroll	Angelo Ogbonna	Michail Antonio	Aaron Cresswell	Manuel Lanzini	Mark Noble	Darren Randolph	Winston Reid	Diafra Sakho	James Collins	Emmanuel Emenike	Sam Byram	Pedro Obiang	Enner Valencia	Raphael Spiegel	Victor Moses	Defenders	Midfielders	Forwards	Defenders	Midfielders	Defenders	Midfielders	Defenders	Midfielders	Midfielders	Goalkeeper	Defenders	Forwards	Goalkeeper	Defenders	Midfielders	Forwards	Midfielders	Defenders	Midfielders	Forwards	Defenders	Midfielders	Defenders	Midfielders	Midfielders	Goalkeeper	Defenders	Midfielders	Defenders	Forwards	Defenders	Midfielders	Forwards	Goalkeeper	Midfielders	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12491	2015/16	1168	38	"Sun 15 May 2016, 15:00 BST"	45	Swansea City	11	Manchester City	1	1	86	Liberty Stadium	Swansea	C	D	F	20934	FALSE	FALSE	5640	433	442			27	16	494	496	676	672			50	50	146	142	13	17	9	13	64	52	2	2	2	10	4	4	23	22	1	1		1		1		1		2			4		1	3	1	1					2	2	Federico Fernández	Stephen Kingsley	Leroy Fer	Wayne Routledge	Leon Britton	Angel Rangel	Kristoffer Nordfeldt	Jefferson Montero	Jordi Amat	Jack Cork	André Ayew	Kyle Naughton	Kenji Gorré	Bafétimbi Gomis	Jay Fulton	Marvin Emnes	Modou Barrow	Josh Vickers	Jesús Navas	Kevin De Bruyne	Bacary Sagna	Joe Hart	Eliaquim Mangala	Kelechi Iheanacho	Fernandinho	Sergio Agüero	Nicolás Otamendi	Gaël Clichy	Fernando	Aleksandar Kolarov	Yaya Touré	Willy Caballero	Raheem Sterling	Martín Demichelis	Samir Nasri	Wilfried Bony	Defenders	Defenders	Midfielders	Forwards	Midfielders	Defenders	Goalkeeper	Forwards	Defenders	Midfielders	Forwards	Defenders	Forwards	Forwards	Midfielders	Forwards	Forwards	Goalkeeper	Midfielders	Midfielders	Defenders	Goalkeeper	Defenders	Forwards	Midfielders	Forwards	Defenders	Defenders	Midfielders	Defenders	Midfielders	Goalkeeper	Midfielders	Defenders	Midfielders	Forwards	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
12492	2015/16	1168	38	"Sun 15 May 2016, 15:00 BST"	33	Watford	29	Sunderland	2	2	136	Vicarage Road	Watford	C	D	F	21012	FALSE	FALSE	5700	442	4231			26	39	401	346	615	547			54	45	153	152	13	20	11	11	62	81	1	4	11	1	7	4	24	11		1		2	1	1	2	1					2	4	1		1		1			2	3	3	José Manuel Jurado	Heurelho Gomes	Adlène Guédioura	Miguel Britos	Nathan Aké	Almen Abdi	Odion Ighalo	Craig Cathcart	Ben Watson	Sebastian Prödl	Troy Deeney	Steven Berghuis	Juan Carlos Paredes	Ikechi Anya	Mario Suárez	Allan-Roméo Nyom	Nordin Amrabat	Costel Pantilimon	Jack Rodwell	Thomas Robson	Jeremain Lens	Sebastian Larsson	Dame N'Doye	Jordan Pickford	Rees Greenwood	Duncan Watmore	Lamine Koné	John O'Shea	DeAndre Yedlin	Billy Jones	Vito Mannone	Jermain Defoe	Wes Brown	Yann M'Vila	George Honeyman	Wahbi Khazri	Midfielders	Goalkeeper	Midfielders	Defenders	Defenders	Midfielders	Forwards	Defenders	Midfielders	Defenders	Forwards	Forwards	Defenders	Midfielders	Midfielders	Defenders	Midfielders	Goalkeeper	Midfielders	Defenders	Midfielders	Midfielders	Forwards	Goalkeeper	Midfielders	Midfielders	Defenders	Defenders	Defenders	Defenders	Goalkeeper	Forwards	Defenders	Midfielders	Midfielders	Midfielders	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12493	2015/16	1168	38	"Sun 15 May 2016, 15:00 BST"	36	West Bromwich Albion	10	Liverpool	1	1	33	The Hawthorns	West Bromwich	C	D	F	26196	FALSE	FALSE	5580	4231	433			25	23	285	612	492	813			32	67	152	154	22	23	13	13	56	54	1		7	3	7	5	20	9	1	1	1	1	1				2				2		3	1	1	1					3	3	Salomón Rondón	Jonny Evans	Darren Fletcher	Jonathan Leko	Craig Dawson	Jonas Olsson	James McClean	Claudio Yacob	Ben Foster	Gareth McAuley	Craig Gardner	Tyler Roberts	Boaz Myhill	Rickie Lambert	Sandro	James Chester	Sam Field	Saido Berahino	Brad Smith	Cameron Brannagan	Kevin Stewart	Joe Allen	Lucas Leiva	Jordon Ibe	Sheyi Ojo	Martin Skrtel	Jon Flanagan	Christian Benteke	Adam Bogdan	Simon Mignolet	Sergi Canós	Danny Ings	Pedro Chirivella	Jordan Henderson	Tiago Ilori	Connor Randall	Forwards	Defenders	Midfielders	Midfielders	Defenders	Defenders	Midfielders	Midfielders	Goalkeeper	Defenders	Midfielders	Midfielders	Goalkeeper	Forwards	Midfielders	Defenders	Midfielders	Forwards	Defenders	Midfielders	Midfielders	Midfielders	Defenders	Forwards	Forwards	Defenders	Defenders	Forwards	Goalkeeper	Goalkeeper	Midfielders	Forwards	Midfielders	Midfielders	Defenders	Defenders	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
